Name of the NGO,Name of the  Project,Project Site,Donor Agency,Approved Amount of External, Approved  Amount of  Internal ,Project  Sector
HimalayanLife,Balbalikaharuko lagi sarbangin bikash tatha awash sahayog karyakarm.,Kaski,"Himalayan Life,Canada.himalaya nlife@gmail.com, www.himalayanlif e.com","10,302,521.00","72,000.00",Child
HimalayanLight Foundation (HLF) Dhumbarahi,"Solarelectrification through solar sisters program at Kaku Secondary School, Solukhumbu District.",Solukhumbu,"Ms. Sue Taninaand friends, Australia.","646,000.00",,Energy/Education
HimalayanLight Foundation (HLF),Solarelectrification through solar sisters program at Balakhu Health Postof Okhaldhunga District.,Okhaldhunga,"Earth GardenFoundation, Australia.","204,678.00",,Energy/Health
HimalayanLight Foundation,Solarelectrification through solar sisters program at Okhaldhunga.,Okhaldhunga.,"Earth GardenFoundation, Australia.","882,360.00",,Energy/Health
HimalayanLight Foundation,"Solarelectrification through solar sisters program at Sagarmatha High School, Okhaldhunga district.",Okhaldhunga.,"Ms. LauraConchelos, NewMexico.","490,000.00",,Education/Energy
HimalayanLight Foundation,"Solarelectrification through solar sisters program at Lamidara and Aaishilu- Kharka Village, Khotang district.",Khotang,"Earth GardenFoundation, Australia.","542,025.00",,Women/Chi ld/Men
HimalayanLight Foundation,"Solarelectrification through solar sisters program of Arkhaulay Health Post, Khotang District.",Khotang.,"Earth GardenFoundation, Australia.","173,032.00",,Energy/Health
HimalayanNature Fibre Foundation (HNFF),"Transforminghill-tribe life, East Nepal.",Sankhuwasabha,"Transrural Trust,UK.","9,054,106.00",,Women
HimalayanNature,"Participatoryvulture conservation initiative in Koshi Tappu, Eastern Nepal.",Sunsari,"Pro Natura Fund,Japan.","1,236,867.69",,Education
HimalayanNature,Pangolinconservation in Nepal - book publication.,Kathmandu,"Forestry Bureau,COA, Taiwan, E- mail : service@forest.g ov.tw. And Whitely Wildlife Conservation Trust, E-mail:joanna.bishop@p aigntonzoo.org.uk","432,300.00",,Education
HimalayanNature,Studentexchange program.,Chitwan,"Charles SturtUniversity, Australia. Www.csu.edu.au","3,244,980.48",,Education
HimalayanProject Nepal (HIPRON),Scholarshipand teachers salary.,Solukhumbu& Kathmandu.,HimalayanProject Denmark.,"1,267,292.00",,Education
HimalayanProject Nepal (HIPRON),Educationproejct.,Kathmandu& Solukhumbu.,HimalayanProject Denmark.,"5,972,074.00",,Education
HimalayanRescue Association Nepal,For theoperation of pheriche aid- post.,Solukhumbu,"1. M/S AhmadGhanimi, Germany. 2.M/S Elsa Oberhausen, USA. 3. Andreas Klant,Germany.4. Wates Family Enterprise, UK. 5. The Traverse Foundation, USA.6. Klant Johannes, USA.7. WeckebrodThomas.","685,939.48","208,060.58",Health
HimalayanRescue Association Nepal,For the0peration of Manang aid- post (doctor's accommodati on),Manang,"1. M/SOberhausen Elsa USA. 2. Barty Daniel James, USA. 3. Rushton Nplloyd, UK.4. t. Mr. Ralf Arnold (Germany Embassy), Kathmandu 5, Mr. Virandra Babu, Australia.","113,074.45","61,925.55",Health
HimalayanRural Development Nepal,Educationalsupport and environment development programme.,Solukhumbu.,"Mrs. Mary JoKimbrough, USA.","144,891.00","32,609.00",Education/environment
HimalayanSustainable Future Foundation,"Environmental education for biodiversity conservation in the Annapurna Conservation area, Nepal.",Kaski,"Taiwan ForestryBureau, Taiwan, service@forest.g ov.tw","281,300.00",,Environment
HimalayanWelfare Service Centre of Helpless Children,Himalayanhelpless child academy,Kathmandu.,"First AustrianVillage, Austria.","11,175,061.00",,Child/Education
Himali VekalaiSuawasar Nepal,Hostelprogram.,Kaski,OHP Nederland.,"1,455,000.00","75,230.00",Education
Himali VillageCare Nepal,BhumesthanSecondary School's teachers early salaryand quipment buying.,Kavre,HimalayanProject e.v.Germany.,"708,180.00",,Education
HolisticDevelopment Service Centre,InitiativeCampaign for marginalised people.,"Siraha,Siraha, Saptari, Udayapur, Gorkha, Dhading, Lamjung & Mahottarai.","Danida/Hugou,Kathmandu.","3,500,000.00",,Human right
HolisticDevelopment Service Centre,Initiative forEmpowerme nt of marginalized men and women.,"Siraha,Saptari, Gorkha, Dhading, Lamjung, Dhanusha, Mahottarai.","DANIDAHUGOU, Kathmandu. hugou@hugou.or g.np","5,000,000.00",,Humanrights
Holly SpiritChild Welfare Home (HSCWH),Holly SpiritChild WelfareHome.,Lalitpur.,"Romana Bttilani,Italy.","117,522.00",,Child home
Holy SpiritChild Welfare Home (HSCWH),Holy SpiritChild WelfareHome.,Lalitpur,"Romana Battilani,Italy.","133,220.00",,child home
Holy SpiritChild Welfare Home (HSCWH),Holy SpiritChild WelfareHome.,Lalitpur,"Romana Battilani,Italy.","131,750.00",,Child home
Holy SpritChild Welfare Home (HSCWH),Holy Spritchild home.,Lalitpur,"Romana Battilani,Italy.","133,230.00",,Child home
Hopad Childand Women Promotion Society,Childrenhome running.,Lalitpur,"Mr. Lucas - Fietz(HOPAD e.v.Germany., Mr. Jeffrey Jackson, USA., Mr.Sylvain, France., Ms. Karin Von Kanel, Switzerland.","172,940.00",,child home
Hopad Childand Women Promotion Society,Childrenhome running.,Lalitpur,"1. Mr. JefferyJackson USA. 2. Mr. Laurent Annette, Switzerland. 3. Ms. Elisa Leibowitz, USA.4. Mr. Pauline Laize-Generat, France.","257,922.00",,Child home
Hopad Childand Women Promotion Society,Childrenhome,Lalitpur,"1. Mr. Lucas-Fietz, (HOPAD EV) Germany. 2. Ms. Thomas (ilona) Gremminger, Switzerland. 3. Ms. Amera Benali Switzeerland. 4. Mr. Laurent Annette, Switzerland. 5. Ms. Karin Von Kanel, Switzerland.","971,000.00",,Child home
Hopaid Childand Women Promotion Society,Child home,Lalitpur,"1. Global Giving,USA 2. Mr. Lucas- Fietz (Hopade.v.), Germany. 3. Ms. Thomas Gremmunger, Switzerland.5.Ms. Karin Von Kanel, Switzerland.","406,046.00",,Child home
Hoste Hainse,Hoste hainseeducation centers.,Sarlahi,"a. 3rd CreejFoundation, USA.email: dstraley@3rdcree k.com b. Interhands Foundation, Norway, email: is@consiliumlaw. no. c. Chance for Life Nepal e.v.Germany, email: guenter.sprenger@wtnet.de. D. Die Zunkunft, Germany, email: b-kolhof@ewetel.ne t","3,474,000.00",,Education
Hoste Hainse,NawaJagaran bal bikash kendra.,Jhapa,"NepalhilfeBietigheim- Hersfeld e.v.Germany.ema il: ingridbaur. yoga@web.de. and Chance for Life Nepal e.v., Germany, quenter.sprenger@wtnet.de","1,337,294.00",,Education
Hoste Hainse,Scholarshipprogram.,Lalitpur,"NepalhilfeBietigheim- Hersfeld e.v.Germany.ema il: ingridbaur. yoga@web.de., Chance for Life Nepal e.v., Germany, quenter.sprenger@wtnet.de and Die Zunkunft, Germany, email: b-kolhof@ewetel.ne t","1,018,930.00",,Education
HumanDevelopment and Community Service (HDCS),HDCS-Chaurjahari Hospital Rukum.,Rukum,Different donors.,17911189,"41,290,560.00",Health
HumanDevelopment and Community Service (HDCS),Equip schooltransformatio nprogramme.,Palpa &Lamjung,"1. Samaritan'sPurse, Canada.2. Chamsil Presbyterian Church, Korea. 3. Baptist Mission Society, England.4. Michael and Maureen Hawksworth. UK.5. INF UK. 6. The Hamilton and Alexandra College,","8,842,032.00","631,936.00",Education
HumanDevelopment and Community Services (HDCS),EQUIPschool transformatio nprogramme.,Palpa &Lamjung.,"Samaritan'sPurse Canada., Chamsil Presbyterian Church, Korea, Baptist Mission Society, England., Michael and Maureen Hawksworth, UK, INF, UK.","8,050,346.00","1,115,307.00",Education
Human Rights& Environment Development Center (HuRENDEC),Regionalmeeting on humanitarian crisis inSouth Asia.,Kathmandu& Kavre,Terre desHommesGermany.,"6,075,000.00",,Humanrights
Human Rights& Environment Development Center (HURENDEC),Bankedutilization resources in the himalayan region.,"Mugu,Humla & Kalikot",Terre desHommesGermany.,"52,554,615.00",,Humanrights/Envir onment
Human Rights& Environment Development Center,Mugucommunity support program.,Mugu.,"Back to Lifee.v.Germany, email: info@back- to-life.com.","3,516,835.88",,Women/Child/Disadvant aged people.
Human RightsJournalists' Association,Empoweringjournalist on reporting news through human rights perspective - EJHR.,"Panchthar,Jhapa, Morang, Dhankuta, Dhanusha, Parsa, Dang, Bardiya & Kanchanpur.",Germanembassy.,"480,000.00",,human right
In Network -Nepal,MahilaSashaktikara n karyakram antargat lidia byabasaik talim kendra.,Lalitpur,"InternationalNeeds Network, Canada. Www.innetwork.o rg","4,752,000.00","224,400.00",Women
In Network -Nepal,Youwa tathabalbalika kalyan karyakram.,Lalitpur,"InternationalNeeds Network, Canada. Www.innetwork.o rg","16,622,060.00
107",,Child/Youth
IndependentLiving Center for PWDs Kathmandu (CIL- Kathmandu),Actingindependent living center in Nepal.,Kathmandu,"AminstreamAssociation, Japan.","1,485,702.00",,Disable
IndependentLiving Center for PWDs Kathmandu. Jawalakhel-10,ActingIndependent Living Center in Nepal.,Kathmandu,"MainstreamAssociation, Japan","1,633,100.00",,Disabity
IndigenousWomen League Nepal (IWIN),"Indigenouswomen empowermen t programme, Nepal.","Makawanpur, Chitwan & Dhading.","Women EarthAlliance, USA. rucha@womense arthalliance.org","426,150.00",,Women(indigenous)
InformalSector Service Centre (INSEC),Surveillancesystem on mine action and armed violence.,Kathmandu,"United NationsDevelopment(UNDP),","3,622,200.00","1,047,000.00",Humanrithts
InformalSector Service Centre (INSEC),INSECprogramme2013-2016.,All Districts.,"1. RoyalNorwegian Embassy (RNE) in Nepal, Lalitpur.2. danish International Development Agency (DANIDA), Kathmandu. 3. Interchurch Organization for Development Cooperation (ICCO), Netherlands. 4. evangelisher Entwicklungsdien st e.v.(EED), Germany or Bread for the World (BfdW).","106,543,706.00",,Humanrights
Initiative forResearch,Alcoholconsumption practice among Nepalese women consequence s on pregnancy and child health growth and development in Nepal.,"Jhapa,Dhankuta, Solukhumbu, Chitwan, Dhading, Bhaktapur, Sindhupalch owk, Rupandehi, Palpa, Mustang, Dang,Salyan, Jumla, Kailali, Dadeldhura& Bhajhang.","LattenFoundation, Norway.","4,029,425.44",,Health
Institute forSocial and Environmental Research - Nepal,Longitudinalsurvey of household livelihoods and migration.,Chitwan.,"Funding Providedto University of Washington through the National Institute for Health, USA.","7,280,040.00",,Research
Institute forSocial and Environmental Transition - Nepal (ISET- N) Chandol,Strengthening Transparency and accessto information on trans boundary water governancein South Asia.,"Sankhuwasabha, Dhankuta & Sunsari.","The AsiaFoundation, www.asiafoundati on.org, tafnp@asiafound. org","2,236,250.00",,Water
Institute forSocial and Environmental Transition - Nepal (ISET- N) Chandol,Mainstrengthening climate change risk management in development (ADB TA-7984: Study of indigenous practices for climate change adaptation in Nepal),"Mugu,Jumla, Achham, Kailali, Banke, Myagdi, Palpa, Kapilvastu, Kathmandu, Chitwan, Dolakha, Solukhumbu, Siraha & Panchthar.","AsianDevelopmentBank, Philippines,","18,304,937.00",,Invironment
Institute forSocial and Environmental Transition - Nepal (ISET- N).,Integratingurban and peri-urban agriculture and forestryin city climate change strategies.,Kathmandu,"RUAFFoundation, TheNetherlands.","1,417,000.00",,Climate
Institute forSocial and Environmental Transition - Nepal (ISET- N).,Perception ofclimate change by population and adaptations.,Khotang &sunsari.,"Centre forHimalayan Studies (CNRS), France.","540,040.00",,Climate/Disaster
Institute forSocial and Environmental Transition - Nepal (ISET- N).,Provision ofan authoritative overview assessment of the occurrence and status of groundwater resources in the Info- Gangetic Basin(IGB).,Palpa &Myagdi.,"British GeologicalSurvey, UK.","2,486,202.00",,Climate
Institute forSocial and Environmental Transition - Nepal,Think TankInitiativeAward.,Kathmandu,"InternationalDevelopment Research Council (IDRC), Canada, courriel: smcgurk@idrc.or g.in","19,370,580.55",,Research
Institute forSocial and Environmental Transition - Nepal,Shelteringfrom a gathering storm.,Kathmandu,"Institute for Socialand Environmental Transition, USA,","3,699,629.89",,Disastermanageme nt
Institute forSocial and Environmental Transition - Nepal,Assessingvulnerability and impacts due to climate change and preparing adaptivestrategies for Panchase area inNepal.,"Parvat,Syangja & Kaski.","United NationsEnvironment programme (UNEP), Thailand.","5,483,290.06",,Disastermanageme nt
Institute forTheological Education by Extension in Nepal,Theologicaleducation by extension.,Lalitpur,"a. Hilfe FurBruder (HFB), Germany, b. Tear Fund, Netherland, UK.c. GZB, Netherland. d. Barnabas Fund, UK. e. Local Partner and Individuals,Nepal.","5,990,037.00",,Education
IntegratedDevelopment Society Nepal,Multistakeholder forestry program.,"Jajarkot,Kalikot, Dailekh, Achham & Bajhang.","The Governmentof Finland (GOF), SDC and DFID, Finland.","207,826,091.00",,Environmen t
InternationalNepal Fellowship,INF EarHospital and Training Centre.,Kaski,"INF WorldwideLimited, Australia.","120,301,144.00",,Health
Islami SanghNepal,Buildingconstruction of Muslim Culture Center.,Parsa.,"IHH INSANIYARDIMVAKFE, Turkey Istanbul.","16,040,949.29",,Religion
Islami SanghNepal,KubarniBitaran.,"Kathmandu,Morang, Sunsari, Saptari, Parsa, Kapilvastu, Rupandehi & Banke.","a. Iihh - IsaniYardimvakfi. B. Sadakatasi Dernegi, c.WEFA Humanitare Organizarion e.v.","13,554,337.50",,Religion
Islami SanghNepal,Distribute ofQuran.,"Kathmandu,Morang, Sunsari, Saptari, Parsa, Kapilvastu, Banke & Rupandehi.","Al QuranAcademu, London.","1,439,400.00",,Religion
Islami SanghNepal,Launch Iftarand food package program.,"Kathmandu,Morang, Sunsari, Saptari, Parsa, Kapilvastu, Banke & Rupandehi.","IHH-InsaniYardimvakfi, Turkey., Sadakatasi Dernegi., WEFA Humanitare Organisation. Germany.","5,544,700.00",,Religion
Jagaran MediaCenter (JMC),Enhancingdemocracy through advocacy and media mobilization on electoral process.,"Nawalparasi,Rupandehi & Kapilvastu.","Canadian Fundfor Local Initiatices (CFLI), Canada.","2,181,000.00","217,000.00",Dalit andMarginalize d communitie s
Jagaran MediaCenter,Socio-politicalinclusion and protection of dalit's rights in New constitution.,Kathmandu,"Foundation OpenSociety Institute(FOSI), USA",2116924.74,"373,574.95",Dalit/Marginalized
JagaranNepal,ElectoralEducation at grassroots and district levels for Democratic Governance (EEDG).,"Mugu,Humla, Dolpa, Kalikot & Jumla.","EU Delegation toNepal,","12,874,331.40","1,430,481.27",electoraleducation
JagaranNepal,CapacityBuilding of Women Political Leaders for Improved Women Representati on in the Second Constitution Assembly & Upcoming Local Elections,"Morang,Khotang, Dhankuta, Saptari, Sunsari, Kavre, Sindhupalch owk, Sarlahi, Makawanpur, Chitwan, Tanahu, Kaski, Gorkha, Maygdi, Mustang, Banke, Pyuthan, Surkhet, Kalikot, Dailekh, Dadeldhura, Doti, Kailali, Darchula&Achham","Enabling StateProgram (ESP), Lalitpur","10,254,334.00",,Women andPoliticalWomen
Jana JagaranSamaj (JJS),SustainableLivelihood Enhancemen t through Local Initiatives.,Banke,"Grensen 9B,0159 Oslo, Norway","5,649,302.00","825,750.00",Indigenous
Jana UtthanPratisthan (JUP-Nepal),PovertyAlleviationFund.,Mahottari.,"PovertyAlleviation Fund, Kathmandu.","786,576.00",,Women
Jana UtthanPratisthan (JUP - Nepal),PovertyAllivationProject.,Mahottarai,"Poverty AllivationFund, Kathmandu.","400,960.00
115",,Povertyallivation
Jana UtthanPratisthan (JUP-Nepal),Thematicworkshop of national human rights.,Kathmandu,UNDP,"502,500.00",,Humanrights
Jana UtthanPratisthan (JUP-Nepal),SafeguardingDalit Rights and Ensuring their Representati on in II CA,Kathmandu,"SPCBN/UNDP,Sanepa, Lalitpur","795,500.00",,Dalit
JanajagaranSamaj,SustainableLivelihood Enhancemen t through Local Initiatives,Banke.,The DevelopmentFund.,"2,100,000.00",,Livelihood
JanakalyanDevelopment Center - Nepal,Livelihoodrecovery for peace project (LRP/UNDP).,Rautahat.,"LRP/UNDP,Nepal.","1,019,836.00",,Women
